query_id,query_type,precision@1,mrr,map,ndcg@10,recall@10,recall@20
Q2_002,2,1.0,1.0,1.0,,,
Q2_003,2,1.0,1.0,1.0,,,
Q2_004,2,1.0,1.0,1.0,,,
Q2_005,2,1.0,1.0,1.0,,,
Q2_006,2,1.0,1.0,1.0,,,
Q2_007,2,1.0,1.0,1.0,,,
Q2_008,2,0.0,0.3333,0.3333,,,
Q2_009,2,1.0,1.0,1.0,,,
Q2_010,2,1.0,1.0,1.0,,,
Q2_011,2,0.0,0.5,0.5,,,
Q2_012,2,1.0,1.0,1.0,,,
Q2_013,2,1.0,1.0,1.0,,,
Q2_014,2,1.0,1.0,1.0,,,
Q2_015,2,1.0,1.0,1.0,,,
Q2_016,2,1.0,1.0,1.0,,,
Q2_017,2,1.0,1.0,1.0,,,
Q2_018,2,1.0,1.0,1.0,,,
Q2_019,2,1.0,1.0,1.0,,,
Q2_020,2,1.0,1.0,1.0,,,
Q2_021,2,0.0,0.5,0.5,,,
Q2_022,2,1.0,1.0,1.0,,,
Q2_023,2,1.0,1.0,1.0,,,
Q2_024,2,1.0,1.0,1.0,,,
Q2_025,2,0.0,0.5,0.5,,,
Q2_026,2,1.0,1.0,1.0,,,
Q2_027,2,1.0,1.0,1.0,,,
Q2_028,2,1.0,1.0,1.0,,,
Q2_029,2,1.0,1.0,1.0,,,
Q2_030,2,0.0,0.5,0.5,,,
Q2_031,2,1.0,1.0,1.0,,,
Q2_032,2,0.0,0.2,0.2,,,
Q2_033,2,0.0,0.125,0.125,,,
Q2_034,2,1.0,1.0,1.0,,,
Q2_035,2,1.0,1.0,1.0,,,
Q2_036,2,1.0,1.0,1.0,,,
Q2_037,2,0.0,0.0526,0.0526,,,
Q2_038,2,1.0,1.0,1.0,,,
Q2_039,2,1.0,1.0,1.0,,,
Q2_040,2,1.0,1.0,1.0,,,
Q2_041,2,1.0,1.0,1.0,,,
Q2_042,2,1.0,1.0,1.0,,,
Q2_043,2,1.0,1.0,1.0,,,
Q2_044,2,1.0,1.0,1.0,,,
Q2_045,2,0.0,0.2,0.2,,,
Q2_046,2,1.0,1.0,1.0,,,
Q2_047,2,1.0,1.0,1.0,,,
Q2_048,2,1.0,1.0,1.0,,,
Q2_049,2,1.0,1.0,1.0,,,
Q2_050,2,1.0,1.0,1.0,,,
Q3_001,3,,,0.9293,1.0,0.3333,
Q3_002,3,,,0.2251,0.1571,0.25,
Q3_003,3,,,0.5324,0.4647,0.6,
Q3_004,3,,,0.8657,0.8611,0.3913,
Q3_005,3,,,0.7131,0.6531,0.2727,
Q3_006,3,,,0.9674,0.9788,0.4348,
Q3_007,3,,,0.4673,0.6282,0.3158,
Q3_009,3,,,0.1429,0.3333,1.0,
Q3_010,3,,,0.0,0.0,0.0,
Q3_011,3,,,0.1254,0.098,0.2,
Q3_013,3,,,0.5588,0.3801,0.5,
Q3_014,3,,,0.6015,0.5149,0.2308,
Q3_015,3,,,0.0,0.0,0.0,
Q3_018,3,,,0.0,0.0,0.0,
Q4_001,4,,,0.1081,0.0752,0.25,
Q4_002,4,,,0.0312,0.0,0.0,
Q4_003,4,,,0.0556,0.0,0.0,
Q4_004,4,,,0.862,0.6287,0.4091,
Q4_005,4,,,0.3362,0.5123,0.8333,
Q4_006,4,,,0.1445,0.0,0.0,
Q4_007,4,,,0.1445,0.0,0.0,
Q4_008,4,,,0.6227,0.6548,0.6,
Q4_009,4,,,0.7,0.8503,1.0,
Q4_010,4,,,0.2,0.3869,1.0,
Q4_011,4,,,0.3492,0.4367,0.6667,
Q4_012,4,,,1.0,1.0,1.0,
Q4_013,4,,,0.0357,0.0,0.0,
Q4_014,4,,,0.7679,0.9059,1.0,
Q5_001,5,,,0.9804,,0.098,0.1961
Q5_002,5,,,1.0,,0.1351,0.2703
Q5_003,5,,,1.0,,0.1449,0.2899
Q5_004,5,,,0.9065,,0.1429,0.2857
Q5_005,5,,,0.8471,,0.1538,0.3462
Q5_006,5,,,1.0,,0.25,0.5
Q5_007,5,,,0.8683,,0.2286,0.5143
Q5_008,5,,,1.0,,0.2857,0.5714
Q5_009,5,,,1.0,,0.303,0.6061
Q5_010,5,,,0.0,,0.0,0.0
Q5_011,5,,,0.0,,0.0,0.0
Q5_012,5,,,0.7516,,0.2258,0.4839
Q5_013,5,,,0.8016,,0.2258,0.5161
Q5_014,5,,,0.8748,,0.2903,0.6129
Q5_015,5,,,0.0,,0.0,0.0
Q5_016,5,,,0.9558,,0.3333,0.6
Q5_017,5,,,0.0,,0.0,0.0
Q5_018,5,,,0.0,,0.0,0.0
Q5_019,5,,,0.0963,,0.037,0.0741
Q5_020,5,,,0.0,,0.0,0.0
Q5_021,5,,,0.6517,,0.2308,0.5
Q5_022,5,,,0.854,,0.4,0.68
Q5_023,5,,,0.904,,0.36,0.72
Q5_024,5,,,0.9057,,0.36,0.72
Q5_025,5,,,1.0,,0.4,0.8
Q5_026,5,,,0.7599,,0.25,0.625
Q5_027,5,,,0.8172,,0.2917,0.7083
Q5_028,5,,,0.8817,,0.3636,0.7727
Q5_029,5,,,0.7525,,0.3182,0.6818
Q5_030,5,,,0.0,,0.0,0.0
Q5_031,5,,,0.0,,0.0,0.0
Q5_032,5,,,0.0,,0.0,0.0
Q5_033,5,,,0.8719,,0.4286,0.9048
Q5_034,5,,,0.0,,0.0,0.0
Q5_035,5,,,0.8386,,0.4737,0.8421
Q5_036,5,,,0.8678,,0.5263,0.7895
Q5_037,5,,,0.4013,,0.1579,0.3684
Q5_038,5,,,0.545,,0.2632,0.5263
Q5_039,5,,,1.0,,0.5263,1.0
Q5_040,5,,,1.0,,0.5556,1.0
Q5_041,5,,,1.0,,0.5882,1.0
Q5_042,5,,,1.0,,0.5882,1.0
Q5_043,5,,,0.0,,0.0,0.0
Q5_044,5,,,1.0,,0.625,1.0
Q5_045,5,,,0.2308,,0.0625,0.1875
Q5_046,5,,,1.0,,0.625,1.0
Q5_047,5,,,0.7705,,0.4375,1.0
Q5_048,5,,,0.8925,,0.5625,1.0
Q5_049,5,,,1.0,,0.625,1.0
Q5_050,5,,,1.0,,0.6667,1.0
Q6_001,6,,,0.0,,0.0,0.0
Q6_002,6,,,0.0,,0.0001,0.0001
Q6_003,6,,,0.0,,0.0,0.0
Q6_004,6,,,0.0017,,0.0002,0.0005
Q6_005,6,,,0.0,,0.0,0.0
Q6_006,6,,,0.0002,,0.0003,0.0006
Q6_007,6,,,0.0,,0.0,0.0
Q6_008,6,,,0.0004,,0.0,0.0003
Q6_009,6,,,0.0035,,0.0007,0.0011
Q6_010,6,,,0.0005,,0.0,0.0
Q6_011,6,,,0.0,,0.0,0.0
Q6_012,6,,,0.0,,0.0,0.0
Q6_013,6,,,0.0,,0.0,0.0
Q6_014,6,,,0.0,,0.0,0.0
Q6_015,6,,,0.0003,,0.0,0.0
Q6_016,6,,,0.0,,0.0,0.0
Q6_017,6,,,0.0114,,0.0058,0.0138
Q6_018,6,,,0.0001,,0.0,0.0012
Q6_019,6,,,0.0,,0.0,0.0
Q6_020,6,,,0.0,,0.0,0.0
Q6_021,6,,,0.0005,,0.0015,0.0015
Q6_022,6,,,0.0,,0.0,0.0
Q6_023,6,,,0.0005,,0.0,0.0018
Q6_024,6,,,0.0,,0.0,0.0
Q6_025,6,,,0.0016,,0.0,0.0075
Q6_026,6,,,0.071,,0.0,0.0137
Q6_027,6,,,0.0225,,0.0,0.0078
Q6_028,6,,,0.0001,,0.0,0.0
Q6_029,6,,,0.0034,,0.0,0.0
Q6_030,6,,,0.0003,,0.0,0.0
Q6_031,6,,,0.0916,,0.0065,0.0174
Q6_032,6,,,0.0403,,0.0,0.0065
Q6_033,6,,,0.0,,0.0,0.0
Q6_034,6,,,0.0,,0.0,0.0
Q6_035,6,,,0.0,,0.0,0.0
Q6_036,6,,,0.0,,0.0,0.0
Q6_037,6,,,0.0043,,0.0,0.0
Q6_038,6,,,0.0,,0.0,0.0
Q6_039,6,,,0.0,,0.0,0.0
Q6_040,6,,,0.0084,,0.0109,0.0136
Q6_041,6,,,0.0017,,0.0,0.0
Q6_042,6,,,0.0,,0.0,0.0
Q6_043,6,,,0.0016,,0.0033,0.0066
Q6_044,6,,,0.0,,0.0,0.0
Q6_045,6,,,0.0,,0.0,0.0
Q6_046,6,,,0.0,,0.0,0.0
Q6_047,6,,,0.0,,0.0,0.0
Q6_048,6,,,0.0,,0.0,0.0
Q6_049,6,,,0.0,,0.0,0.0
Q6_050,6,,,0.0,,0.0,0.0
